Issue Key,Issue Type,Summary,Epic Link,Component,Priority,Status,Description,Acceptance Criteria,Depends On,Labels
TSK-402,Task,Background GPS Geolocation Tracking & Movement Logging,EPC-04,taska-api / taska-technician,Critical,Done,Stream technician GPS coordinates via watchPosition and log movement to database,Updates technician coordinates; records movement log; broadcasts LocationUpdated,TSK-401,gps tracking location
TSK-403,Task,Sequential Job Execution State Machine,EPC-04,taska-api / taska-technician,Critical,Done,Enforce order state transitions (accepted to arrived to in_progress to completed),Validates state machine transitions; logs timestamps; generates pending payment,TSK-303,state machine job execution
TSK-501,Task,ASP.NET Core SignalR Real-Time Hubs Setup & JWT Authorization,EPC-05,taska-api,Critical,Done,Configure SignalR Hubs with JWT Bearer query token authorization,Initializes SignalR endpoints; verifies JWT on handshakes; manages client groups,None,signalr websocket realtime
TSK-502,Task,In-Order Live Chat between Resident and Technician,EPC-05,taska-api / taska-resident / taska-technician,High,Done,Provide real-time messaging interface within active orders via SignalR OrderHub,Restricts messaging to order participants; broadcasts ChatMessage,TSK-501,chat messaging realtime
TSK-601,Task,Automated Invoice Generation & Payment Simulation,EPC-06,taska-api / taska-resident / admin-react,High,In Progress,Generate payment records on completion and support Cash and Visa payment flows,Generates transaction IDs; handles simulated payment success and failure,TSK-403,billing payment invoice
TSK-602,Task,Customer Satisfaction 5-Star Rating & Review Engine,EPC-06,taska-api / taska-resident / admin-react,Medium,Done,Allow residents to submit 1-5 star ratings and recalculate technician overall average,Enforces 1-5 star range; recalculates technician average rating,TSK-601,rating review satisfaction
TSK-701,Task,Executive KPI Operations Dashboard,EPC-07,admin-react / taska-api,High,Done,Build administrative dashboard showing real-time counters and Recharts analytics,Displays stats cards; listens to WebSocket events; renders revenue and status charts,None,admin dashboard kpi charts
TSK-702,Task,Real-Time Drag-and-Drop Orders Kanban Board,EPC-07,admin-react,High,Testing / QA,Implement live Kanban dispatch board with status lanes and card detail inspection,Columns update live over SignalR; supports drag-and-drop state transition,TSK-701|TSK-501,kanban dispatch realtime
TSK-703,Task,Technician & Resident Directory Management,EPC-07,admin-react / taska-api,Medium,Done,Provide administration tables to manage technicians and residents across compounds,Supports search and compound filter; allows technician creation and deletion,None,admin directory management
TSK-801,Task,Resident Support Widget & Ticket Creation,EPC-08,taska-resident / taska-api,High,Done,Implement floating support chat widget with single open ticket constraint,Enforces single active ticket per resident; broadcasts TicketCreated over SupportHub,TSK-102,support helpdesk widget ticket
TSK-802,Task,Admin Helpdesk Dispatch Desk & Ticket Resolution,EPC-08,admin-react / taska-api,High,Testing / QA,Administrative interface to respond to support tickets and close cases,Real-time two-way messaging on SupportHub; resolution rating prompt,TSK-801,admin helpdesk support
TSK-901,Task,Database-Driven Translation Schema & Public API,EPC-09,taska-api,High,Done,Store translation key-values in MySQL and serve via public API endpoint,Enforces unique key per language; serves translation JSON dictionary,None,localization i18n database
TSK-902,Task,Client Bilingual Context & RTL Layout Engine,EPC-09,taska-resident / taska-technician / admin-react,High,Done,Support English and Arabic switching with automatic RTL layout mirroring,Toggles dir attribute between ltr and rtl; persists language selection,TSK-901,rtl arabic bilingual
TSK-903,Task,Automated Translation Key Seeder & Machine Sync,EPC-09,taska-api,Low,To Do,Tooling to automatically discover untranslated keys in frontend and seed database,Parses frontend codebase for translation keys and creates database records,TSK-901,tooling seeder i18n
TSK-1001,Task,Client Health Check & Automatic Offline Sandbox Mode,EPC-10,taska-resident / taska-technician,Medium,Done,Detect API availability and fall back to localStorage mock sandbox when offline,Pings categories endpoint; falls back to sandbox.ts without crashing,None,offline sandbox resilience
TSK-1101,Task,Voice Message Notes in Order Chat,EPC-05,taska-api / All Clients,Low,Backlog,Enable audio voice clip recording and playback in resident-technician chat,Audio recording via MediaRecorder API; storage in S3/local static disk,TSK-502,voice audio chat backlog
TSK-1102,Task,Compound Security Gate Pass QR Code Generator,EPC-04,taska-api / taska-technician,Medium,Backlog,Generate digital entry QR code for assigned technician at compound gate,Generates time-limited QR code linked to order for compound gate security scanner,TSK-403,qrcode security gate backlog
