Issue Key,Summary,Description,Epic,Module,Priority,Status,Acceptance Criteria,Dependencies
TSK-401,Technician Online/Offline Duty Status Toggle,Implement duty status switch to control technician dispatch availability,EPC-04,taska-api / taska-technician,High,In Progress,Toggles status between online and offline; filters compound broadcast recipients,TSK-104
TSK-402,Background GPS Geolocation Tracking & Movement Logging,Stream technician GPS coordinates via watchPosition and log movement to database,EPC-04,taska-api / taska-technician,Critical,To Do,Updates technician coordinates; records movement log; broadcasts LocationUpdated over SignalR,TSK-401
TSK-403,Sequential Job Execution State Machine,Enforce order state transitions (accepted to arrived to in_progress to completed),EPC-04,taska-api / taska-technician,Critical,To Do,Validates state machine transitions; logs timestamps; generates pending payment,TSK-303
TSK-501,ASP.NET Core SignalR Real-Time Hubs Setup & JWT Authorization,Configure SignalR Hubs (OrderHub LocationHub SupportHub) with JWT Bearer query token authorization,EPC-05,taska-api,Critical,To Do,Initializes SignalR endpoints; verifies JWT Bearer token on connection handshakes; manages client groups,None
TSK-502,In-Order Live Chat between Resident and Technician,Provide real-time messaging interface within active orders via SignalR OrderHub,EPC-05,taska-api / taska-resident / taska-technician,High,To Do,Restricts messaging to order participants; broadcasts ChatMessage over SignalR,TSK-501
TSK-601,Automated Invoice Generation & Payment Simulation,Generate payment records on completion and support Cash and Visa payment flows,EPC-06,taska-api / taska-resident / admin-react,High,To Do,Generates transaction IDs; handles simulated payment success and failure; supports admin refund,TSK-403
TSK-602,Customer Satisfaction 5-Star Rating & Review Engine,Allow residents to submit 1-5 star ratings and recalculate technician overall average,EPC-06,taska-api / taska-resident / admin-react,Medium,To Do,Enforces 1-5 star range; recalculates technician average rating; prevents duplicate rating,TSK-601
TSK-701,Executive KPI Operations Dashboard,Build administrative dashboard showing real-time counters and Recharts analytics,EPC-07,admin-react / taska-api,High,Done,Displays stats cards; listens to WebSocket status events; renders revenue and status charts,None
TSK-702,Real-Time Drag-and-Drop Orders Kanban Board,Implement live Kanban dispatch board with status lanes and card detail inspection,EPC-07,admin-react,High,In Progress,Columns update live over ASP.NET Core SignalR; supports drag-and-drop state transition,TSK-701|TSK-501
TSK-703,Technician & Resident Directory Management,Provide administration tables to manage technicians and residents across compounds,EPC-07,admin-react / taska-api,Medium,To Do,Supports search and compound filter; allows technician creation and deletion,None
TSK-801,Resident Support Widget & Ticket Creation,Implement floating support chat widget with single open ticket constraint,EPC-08,taska-resident / taska-api,High,In Progress,Enforces single active ticket per resident; broadcasts TicketCreated over SupportHub,TSK-102
TSK-802,Admin Helpdesk Dispatch Desk & Ticket Resolution,Administrative interface to respond to support tickets and close cases,EPC-08,admin-react / taska-api,High,To Do,Real-time two-way messaging on SupportHub; resolution rating prompt,TSK-801
TSK-901,Database-Driven Translation Schema & Public API,Store translation key-values in MySQL and serve via public API endpoint,EPC-09,taska-api,High,To Do,Enforces unique key per language; serves translation JSON dictionary,None
TSK-902,Client Bilingual Context & RTL Layout Engine,Support English and Arabic switching with automatic RTL layout mirroring,EPC-09,taska-resident / taska-technician / admin-react,High,Done,Toggles dir attribute between ltr and rtl; persists language selection,TSK-901
TSK-903,Automated Translation Key Seeder & Machine Sync,Tooling to automatically discover untranslated keys in frontend and seed database,EPC-09,taska-api,Low,Backlog,Parses frontend codebase for translation keys and creates database records,TSK-901
TSK-1001,Client Health Check & Automatic Offline Sandbox Mode,Detect API availability and fall back to localStorage mock sandbox when offline,EPC-10,taska-resident / taska-technician,Medium,Done,Pings categories endpoint; falls back to sandbox.ts without crashing,None
TSK-1101,Voice Message Notes in Order Chat,Enable audio voice clip recording and playback in resident-technician chat,EPC-05,taska-api / All Clients,Low,Backlog,Audio recording via MediaRecorder API; storage in S3/local static disk,TSK-502
TSK-1102,Compound Security Gate Pass QR Code Generator,Generate digital entry QR code for assigned technician at compound gate,EPC-04,taska-api / taska-technician,Medium,Backlog,Generates time-limited QR code linked to order for compound gate security scanner,TSK-403
